analysis_group,label,cohort,ocid,character_name,levels,start_level,end_level,total_growth,event_growth,between_growth,max_interval_growth,max_interval_seg,burst_ratio,std_interval,n_active_ge2,n_active_ge1,n_flat,n_intervals_known,seg0_assemble,seg4_overdrive,first_260_offset,exp_rate_at_260,obs_days_after_260,final_exp_rate,cp_delta_5snap
parker_vs_persistent,Persistent_cand,climb,e1867cbb6dea38527b6c1b9c5e1e2ba9,,200|200|200|202|256|260,200,260,60,4,56,54,3,0.9,21.05,3,3,2,5,0,4,,,,,
parker_vs_persistent,Persistent_cand,burnend,dd435ab7afe9c98fee5ed036b8782177,,270|274|275|279|281|281,270,281,11,4,7,4,0,0.364,1.6,3,4,1,5,4,0,,,,,
parker_vs_persistent,Persistent_cand,at260,40ee830dd76b647e0a614cfdc26fd3ffefe8d04e6d233bd35cf2fabdeb93fb0d,,235|235|245|253|260|260,235,260,25,0,25,10,1,0.4,4.2,3,3,2,5,0,0,,,,,
parker_vs_persistent,Persistent_cand,at260,0819c074134191d8a8d34603c42b2cc1efe8d04e6d233bd35cf2fabdeb93fb0d,,229|253|258|258|260|260,229,260,31,24,7,24,0,0.774,9.09,3,3,2,5,24,0,,,,,
parker_vs_persistent,Persistent_cand,climb,630bcdbe0858d96fc5ddda08bc14185d,,220|220|220|235|256|260,220,260,40,4,36,21,3,0.525,8.51,3,3,2,5,0,4,,,,,
parker_vs_persistent,Persistent_cand,burnend,b8fb991ac33bb357f17b911517b24a30efe8d04e6d233bd35cf2fabdeb93fb0d,,265|271|275|277|281|281,265,281,16,6,10,6,0,0.375,2.04,4,4,1,5,6,0,,,,,
parker_vs_persistent,Persistent_cand,climb,dbd82ad31c5f946c5968940797fc4fb0,,228|230|230|236|256|262,228,262,34,8,26,20,3,0.588,7.0,4,4,1,5,2,6,,,,,
parker_vs_persistent,Persistent_cand,past260,ab104888755f3eca685377541bca7f04,,250|252|257|260|261|262,250,262,12,3,9,5,1,0.417,1.5,3,5,0,5,2,1,,,,,
parker_vs_persistent,Persistent_cand,burnend,edeecb5bc4974dc8a8f61156de921ec7,,270|275|277|280|281|282,270,282,12,6,6,5,0,0.417,1.5,3,5,0,5,5,1,,,,,
parker_vs_persistent,Persistent_cand,at260,9aab4dd34ad974a974fa24bd593b351aefe8d04e6d233bd35cf2fabdeb93fb0d,,220|225|250|250|260|260,220,260,40,5,35,25,1,0.625,9.27,3,3,2,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,a35f4d0b3c1f76de607cd275cd647e10,,276|279|280|280|280|282,276,282,6,5,1,3,0,0.5,1.17,2,3,2,5,3,2,,,,,
parker_vs_persistent,Seasonal_Parker,at260,aed59f313aca1957cce26cb72591dfc9,,200|260|260|260|260|260,200,260,60,60,0,60,0,1.0,24.0,1,1,4,5,60,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,c463d28a20e7e17a5a476039e2d10c16,,273|279|280|280|281|284,273,284,11,9,2,6,0,0.545,2.14,2,4,1,5,6,3,,,,,
parker_vs_persistent,Seasonal_Parker,past260,992c873304c93ecf38c80df9c3652bfa,,215|262|262|262|262|262,215,262,47,47,0,47,0,1.0,18.8,1,1,4,5,47,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,7e3780b4c672a5f03b4396997df1b4dc,,277|281|281|281|281|281,277,281,4,4,0,4,0,1.0,1.6,1,1,4,5,4,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,982dc7a6471454c31036731b5f85501eefe8d04e6d233bd35cf2fabdeb93fb0d,,278|281|281|281|281|281,278,281,3,3,0,3,0,1.0,1.2,1,1,4,5,3,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,9f4cc7c9bc459a93e9b62d58436f0a07efe8d04e6d233bd35cf2fabdeb93fb0d,,257|260|260|260|260|260,257,260,3,3,0,3,0,1.0,1.2,1,1,4,5,3,0,,,,,
