ocid,provisional_label,cohort,lv_2025-06-12,lv_2025-09-24,lv_2025-12-12,lv_2026-03-15,lv_2026-06-12,lv_2026-09-02
14adc9e51f502dd3a4414b66858e0edcefe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,past260,250,262,262,262,262,262
1ec19129892f9b53d257cf4bbad35507,Seasonal_Parker,at260,220,260,260,260,260,260
f13c3c02550fc375b7ab8f3aad57dfb086e68d4012202d0434d05f81868f68e3,Seasonal_Parker,at260,255,260,260,260,260,260
84c02150731ba1e3e04f93afa3585f7aefe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,at260,253,259,259,259,259,260
5ba1821568da89325981c6f0019701e8,Seasonal_Parker,past260,251,262,262,262,262,262
be50c466d88e99674713904f4b85f29c,Seasonal_Parker,burnend,280,281,281,281,281,285
e8b7789820542a49c5167858143b940aefe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,at260,250,260,260,260,260,260
42a3870b8999c0537185ea6735549b26,Seasonal_Parker,at260,230,260,260,260,260,260
39f9e29601953aa554df254cfea81665,Seasonal_Parker,at260,260,260,260,260,260,264
6936fd4ca030970a5bd7003771a5c350,Seasonal_Parker,past260,257,262,262,262,262,262
2eb9cc3de8dfdfe726934f0374e6d4e8,Seasonal_Parker,at260,250,260,260,260,260,260
bd1cb4182521f3a97ab6810bc54bf8a3,Seasonal_Parker,at260,255,260,260,260,260,260
df39ef07d6fe6534d6e2bf69673d56e4aae77432709819edb959e1fd5d1d77b4,Seasonal_Parker,at260,255,260,260,260,260,260
4f3b4b39c8ddd327b3b8a2b1e95eddde,Seasonal_Parker,burnend,277,281,281,281,281,281
0fc562e3f41f92d8b7f6ac2d5835442e,Seasonal_Parker,burnend,277,278,279,280,280,283
13c1c1bde2f14d9390a8a609c42bf4a1efe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,at260,257,260,260,260,260,260
97fc2ac18172aa37d4237c0f61f68d2c,Seasonal_Parker,at260,200,260,260,260,260,260
570f49e94180026039f437f0ebbaf22fefe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,at260,200,260,260,260,260,260
12e0c83a92e607c8d73ab1844804a251,Seasonal_Parker,at260,255,255,255,255,255,260
7387135e644abecdd189b4057c90bf14,Seasonal_Parker,burnend,275,279,280,280,281,281
dfb028c405e4befad50a3f8702d229ec,Seasonal_Parker,at260,200,260,260,260,260,260
b8851d8f23b160b0c3c16b6ea75f0184,Seasonal_Parker,at260,210,260,260,260,260,260
a472840cb695a4914723c54e3d27ce59,Seasonal_Parker,at260,256,259,260,260,260,260
be6accba01d5e7dae345661dfae21f07efe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,past260,245,261,261,262,262,262
f15088071bf5822c489de5cb8e132c1defe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,burnend,275,280,280,281,281,281
e38b9f3a713f6293377bdba0fa7ab9ce,Seasonal_Parker,burnend,273,280,280,280,281,283
6bad1e8cf7cf14ef7df1599bbe0b74e2efe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,at260,240,260,260,260,260,260
