ocid,provisional_label,cohort,lv_2025-06-12,lv_2025-09-24,lv_2025-12-12,lv_2026-03-15,lv_2026-06-12,lv_2026-09-02
8b0ef0ce0dde07cc3bf76ae3835984fa,Dormant,at260,260,260,260,260,260,260
3d071f1d01071392b85d8492892da839,Dormant,at260,260,260,260,260,260,260
dc443be24282d000511ddf124fa953ee,Dormant,past260,262,262,262,262,262,262
575a8823e0354123f22d2256c0cdd7daefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
857bd5cba59b2aff151abc4aae83c8abefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,past260,262,262,262,262,262,262
ee4ccfc3c47d14f6112683a0d8da8779,Dormant,burnend,281,281,281,281,281,281
feca665b17d703e02977c4094b7d2f0d,Dormant,past260,262,262,262,262,262,262
9bfa151ffc8956e229f7760b44893598,Dormant,at260,260,260,260,260,260,260
2986918ec5941d45ccdeda7f3d3e1aa3,Dormant,burnend,281,281,281,281,281,281
5911aa210af938beed389ffffa9d41f2,Dormant,past260,262,262,262,262,262,262
f4101031a0d9101305fa1dda72834c85,Dormant,at260,260,260,260,260,260,260
c1621ae7e7e584e6c9e43336394978a5,Dormant,at260,260,260,260,260,260,260
c461e510599c044e02ed8d91de6a5bc6,Dormant,past260,262,262,262,262,262,262
dfa241c42fbd49ea77dc633f46a5c711,Dormant,at260,260,260,260,260,260,260
25d5d8c84c61d4c501b18f2f403dfa6fefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
7c76f46ce3dd0d0aebb056a9779b7e5b,Dormant,past260,262,262,262,262,262,262
dd0270fbd5b818c12fbc40a6f324226afd842dab14be2a956555625b37c97bff,Dormant,at260,260,260,260,260,260,260
f097cf9778b1f8835f6ae5314a984994efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,past260,262,262,262,262,262,262
7b573dd438474e9c5654664e0da8ab2c,Dormant,at260,260,260,260,260,260,260
b96bb8a982ea95436bd48e616e0ab035efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
5dcd56636e533af97f36715a20357601,Dormant,at260,260,260,260,260,260,260
64633f4b10c856967380f29674942d466fbb98200a15be5bcc73a64995849e9c,Dormant,past260,262,262,262,262,262,262
f36691fe94cf53d7b7ad465eb89d7a0aefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
ba98fe3f00c71f34da4438bd51fd6d58efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
a4bb192104f948b51620a33dae310581efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
