label,cohort,ocid,levels,start_level,total_growth,event_growth,between_growth,n_active_ge1,n_active_ge2,top1_share,top2_share,hhi,disp_entropy,conc_entropy,gap12
Persistent_cand,burnend,e75ce841e3435551d62926fa97ac2eae,273|275|275|275|281|284,273,11,5,6,3,3,0.545,0.818,0.405,0.618,0.382,3
Persistent_cand,climb,021d71c6c5fce78fcc38720dc5ff520a,214|214|225|225|255|260,214,46,5,41,3,3,0.652,0.891,0.494,0.536,0.464,19
Persistent_cand,climb,6bca448fe48ca75d1fece04eff4801e2,232|239|242|246|255|259,232,27,11,16,5,5,0.333,0.593,0.235,0.948,0.052,2
Persistent_cand,at260,6aae561357d4fec7ce1b834466533cbcefe8d04e6d233bd35cf2fabdeb93fb0d,233|233|235|245|260|260,233,27,0,27,3,3,0.556,0.926,0.451,0.551,0.449,5
Persistent_cand,at260,680adcb996a46a5e066515818a07d82d,218|220|220|241|260|260,218,42,2,40,3,3,0.5,0.952,0.457,0.528,0.472,2
Persistent_cand,at260,ce30e9957cb3fc25d2ba4f178103d41b,230|235|239|250|260|260,230,30,5,25,4,4,0.367,0.7,0.291,0.809,0.191,1
Persistent_cand,climb,e1867cbb6dea38527b6c1b9c5e1e2ba9,200|200|200|202|256|260,200,60,4,56,3,3,0.9,0.967,0.816,0.242,0.758,50
Persistent_cand,burnend,dd435ab7afe9c98fee5ed036b8782177,270|274|275|279|281|281,270,11,4,7,4,3,0.364,0.727,0.306,0.785,0.215,0
Persistent_cand,at260,40ee830dd76b647e0a614cfdc26fd3ffefe8d04e6d233bd35cf2fabdeb93fb0d,235|235|245|253|260|260,235,25,0,25,3,3,0.4,0.72,0.341,0.676,0.324,2
Persistent_cand,at260,0819c074134191d8a8d34603c42b2cc1efe8d04e6d233bd35cf2fabdeb93fb0d,229|253|258|258|260|260,229,31,24,7,3,3,0.774,0.935,0.63,0.416,0.584,19
Persistent_cand,climb,630bcdbe0858d96fc5ddda08bc14185d,220|220|220|235|256|260,220,40,4,36,3,3,0.525,0.9,0.426,0.582,0.418,6
