cohort,date,elapsed_day,n,n_dropout,breakthrough_rate,bt_ci_lo,bt_ci_hi,retention_rate,ret_ci_lo,ret_ci_hi,settle_rate
past260,2026-07-06,18,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-07,19,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-08,20,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-09,21,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-10,22,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-11,23,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-12,24,283,16,,,,0.11619718309859155,0.08098591549295775,0.15492957746478872,0.2147887323943662
past260,2026-07-13,25,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-14,26,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-15,27,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-16,28,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-17,29,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-18,30,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-19,31,283,16,,,,0.0035211267605633804,0.0,0.01056338028169014,0.2147887323943662
past260,2026-07-20,32,283,16,,,,0.08450704225352113,0.0528169014084507,0.11971830985915492,0.2147887323943662
past260,2026-07-21,33,283,16,,,,0.0035211267605633804,0.0,0.01056338028169014,0.2147887323943662
past260,2026-07-22,34,283,16,,,,0.0,0.0,0.0,0.2147887323943662
burnend,2026-06-18,0,295,4,,,,,,,0.6317567567567568
burnend,2026-06-19,1,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-20,2,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-21,3,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-22,4,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-23,5,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-24,6,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-25,7,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-26,8,295,4,,,,0.5168918918918919,0.4594594594594595,0.5743243243243243,0.6317567567567568
burnend,2026-06-27,9,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-28,10,295,4,,,,0.006756756756756757,0.0,0.016891891891891893,0.6317567567567568
burnend,2026-06-29,11,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-06-30,12,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-01,13,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-02,14,295,4,,,,0.0033783783783783786,0.0,0.010135135135135136,0.6317567567567568
burnend,2026-07-03,15,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-04,16,295,4,,,,0.49324324324324326,0.4358108108108108,0.5506756756756757,0.6317567567567568
burnend,2026-07-05,17,295,4,,,,0.010135135135135136,0.0,0.02364864864864865,0.6317567567567568
burnend,2026-07-06,18,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-07,19,295,4,,,,0.006756756756756757,0.0,0.016891891891891893,0.6317567567567568
burnend,2026-07-08,20,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-09,21,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-10,22,295,4,,,,0.006756756756756757,0.0,0.016891891891891893,0.6317567567567568
burnend,2026-07-11,23,295,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-12,24,295,4,,,,0.4391891891891892,0.38175675675675674,0.4966216216216216,0.6317567567567568
burnend,2026-07-13,25,296,4,,,,0.0033783783783783786,0.0,0.010135135135135136,0.6317567567567568
burnend,2026-07-14,26,296,4,,,,0.010135135135135136,0.0,0.02364864864864865,0.6317567567567568
burnend,2026-07-15,27,296,4,,,,0.0033783783783783786,0.0,0.010135135135135136,0.6317567567567568
burnend,2026-07-16,28,296,4,,,,0.006756756756756757,0.0,0.016891891891891893,0.6317567567567568
burnend,2026-07-17,29,296,4,,,,0.006756756756756757,0.0,0.016891891891891893,0.6317567567567568
burnend,2026-07-18,30,296,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-19,31,296,4,,,,0.016891891891891893,0.0033783783783783786,0.033783783783783786,0.6317567567567568
burnend,2026-07-20,32,296,4,,,,0.3547297297297297,0.30067567567567566,0.40878378378378377,0.6317567567567568
burnend,2026-07-21,33,296,4,,,,0.0,0.0,0.0,0.6317567567567568
burnend,2026-07-22,34,296,4,,,,0.010135135135135136,0.0,0.02364864864864865,0.6317567567567568
